TIMESTAMP,USER_ID,SESSION_ID,ACTION_TYPE,TARGET_RESOURCE,SEVERITY_LEVEL,BYTES_TRANSFERRED
1700000000,user0,session-0,LOGIN,/usr/bin/sshd,5,0
1700000001,user0,session-0,COMMAND_EXEC,/bin/ls,3,50
1700000002,user0,session-0,LOGOUT,/usr/bin/sshd,5,0
1700000003,user1,session-1,LOGIN,/usr/bin/sshd,5,0
1700000004,user1,session-1,COMMAND_EXEC,/bin/ls,3,50
1700000005,user1,session-1,LOGOUT,/usr/bin/sshd,5,0
1700000006,user2,session-2,LOGIN,/usr/bin/sshd,5,0
1700000007,user2,session-2,COMMAND_EXEC,/bin/ls,3,50
1700000008,user2,session-2,LOGOUT,/usr/bin/sshd,5,0
1700000009,user3,session-3,LOGIN,/usr/bin/sshd,5,0
1700000010,user3,session-3,COMMAND_EXEC,/bin/ls,3,50
1700000011,user3,session-3,LOGOUT,/usr/bin/sshd,5,0
1700000012,user4,session-4,LOGIN,/usr/bin/sshd,5,0
1700000013,user4,session-4,COMMAND_EXEC,/bin/ls,3,50
1700000014,user4,session-4,LOGOUT,/usr/bin/sshd,5,0
1700000015,user5,session-5,LOGIN,/usr/bin/sshd,5,0
1700000016,user5,session-5,COMMAND_EXEC,/bin/ls,3,50
1700000017,user5,session-5,LOGOUT,/usr/bin/sshd,5,0
1700000018,user6,session-6,LOGIN,/usr/bin/sshd,5,0
1700000019,user6,session-6,COMMAND_EXEC,/bin/ls,3,50
1700000020,user6,session-6,LOGOUT,/usr/bin/sshd,5,0
1700000021,user7,session-7,LOGIN,/usr/bin/sshd,5,0
1700000022,user7,session-7,COMMAND_EXEC,/bin/ls,3,50
1700000023,user7,session-7,LOGOUT,/usr/bin/sshd,5,0
1700000024,user8,session-8,LOGIN,/usr/bin/sshd,5,0
1700000025,user8,session-8,COMMAND_EXEC,/bin/ls,3,50
1700000026,user8,session-8,LOGOUT,/usr/bin/sshd,5,0
1700000027,user9,session-9,LOGIN,/usr/bin/sshd,5,0
1700000028,user9,session-9,COMMAND_EXEC,/bin/ls,3,50
1700000029,user9,session-9,LOGOUT,/usr/bin/sshd,5,0
1700000030,user10,session-10,LOGIN,/usr/bin/sshd,5,0
1700000031,user10,session-10,COMMAND_EXEC,/bin/ls,3,50
1700000032,user10,session-10,LOGOUT,/usr/bin/sshd,5,0
1700000033,user11,session-11,LOGIN,/usr/bin/sshd,5,0
1700000034,user11,session-11,COMMAND_EXEC,/bin/ls,3,50
1700000035,user11,session-11,LOGOUT,/usr/bin/sshd,5,0
1700000036,user12,session-12,LOGIN,/usr/bin/sshd,5,0
1700000037,user12,session-12,COMMAND_EXEC,/bin/ls,3,50
